"","age","sex","civil_status","education","professional_experience","COMP1","COMP2","COMP3","COMP4","COMP5","CONF1","CONF2","CONF3","CONF4","CONF5","INSE1","INSE2","INSE3","INSE4","INSE5","alene","leder","bransje","kjønn","complexity"
"131",48,1,1,3,"22",5,1,2,2,2,1,1,1,1,1,1,1,1,1,1,TRUE,FALSE,"Helse og omsorg","kvinne",12
"132",43,1,3,4,"30",1,1,1,2,2,6,6,6,6,7,1,1,2,1,1,FALSE,FALSE,"Annet","kvinne",7
"133",37,1,3,3,"12",3,2,2,3,2,4,5,5,5,5,1,1,1,1,1,FALSE,FALSE,"Annet","kvinne",12
"134",50,2,3,2,"33",3,6,4,5,4,4,4,5,5,5,2,2,3,2,2,FALSE,TRUE,"Annet","mann",22
"135",56,2,1,2,"37",1,1,1,1,1,1,1,1,1,1,2,2,2,4,3,TRUE,TRUE,"Annet","mann",5
"136",35,1,2,3,"9",6,6,5,6,5,2,1,1,1,1,2,1,1,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",28
"137",34,1,2,2,"13",5,5,6,7,7,4,4,6,4,4,2,2,3,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",30
"138",54,1,3,2,"32",7,7,7,7,6,4,1,1,1,4,1,2,2,1,1,FALSE,FALSE,"Annet","kvinne",34
"139",43,1,4,3,"24",4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,TRUE,FALSE,"Annet","kvinne",11
"140",36,1,3,3,"20",5,7,6,7,6,6,5,4,5,5,2,1,1,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",31
"141",45,1,3,4,"30",1,1,1,1,1,1,4,4,2,4,1,1,1,1,1,FALSE,FALSE,"Annet","kvinne",5
"142",58,1,3,4,"34",4,4,4,5,6,6,6,6,4,4,2,2,2,2,2,FALSE,FALSE,"Annet","kvinne",23
"143",38,1,2,4,"15",5,5,5,6,6,3,2,6,3,6,2,2,2,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",27
"144",44,1,3,3,"22",3,3,3,3,3,3,2,3,2,3,3,4,3,3,3,FALSE,FALSE,"Helse og omsorg","kvinne",15
"145",52,1,1,4,"20",5,4,2,5,2,2,6,6,5,6,2,2,2,2,2,TRUE,TRUE,"Helse og omsorg","kvinne",18
"146",53,1,1,2,"25",4,5,5,6,5,6,6,6,6,5,4,5,4,3,3,TRUE,FALSE,"Helse og omsorg","kvinne",25
"147",39,1,3,4,"15",3,1,2,5,5,5,4,4,2,3,2,2,2,2,2,FALSE,FALSE,"Annet","kvinne",16
"148",44,1,3,3,"22",2,3,2,5,5,5,2,2,2,2,5,5,5,5,5,FALSE,FALSE,"Helse og omsorg","kvinne",17
"149",33,1,3,3,"10",4,4,5,6,6,3,1,1,1,1,4,1,2,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",25
"150",33,2,3,4,"9,5",2,2,2,4,3,2,1,1,3,2,3,3,2,4,3,FALSE,FALSE,"Annet","mann",13
