"","Org_num","Alder","Engasjement","Utbrenthet","Overbelastning","Kynisme","Medarbeiderskap","Turnoverintensjon","Informasjonogforutsigbarhet","Medvirkning","Autonomi","Tilbakemelding","Investeringimedarbeiderutvikling","Ledelseskvalitet","Støttefrakolleger","Klarhetimål","Interntsamarbeid","Arbeidspress","Kjønn","Barn_num","Eng1","Eng2","Eng3","Eng4","Eng5","Eng6","Medarb1","Medarb2","Medarb3","Medarb4","Overb1","Overb2","Overb3","Overb4","Kyn1","Kyn2","Kyn3","Turn1","Turn2","Turn3","Info1","Info2","Medv1","Medv2","Medv3","Auto1","Auto2","Auto3","Tilbm1","Tilbm2","Tilbm3","Inv1","Inv2","Inv3","LK1","LK2","LK3","LK4","LK5","Stk1","Stk2","Stk3","Stk4","Stk5","Stk6","Stk7","Kmål1","Kmål2","Kmål3","Ints1","Ints2","Ints3","Ints4","Ints5","Arbp1","Arbp2","Arbp3"
"426",2,35,4.167,1.57142857142857,1.5,1.66666666666667,4.25,1.333,4,4.333,4.333,4,3,4.4,4.143,3.667,3.8,2.333,1,1,4,5,4,3,5,4,4,4,5,4,2,1,1,2,1,1,3,2,1,1,4,4,4,4,5,4,4,5,4,4,4,3,4,2,4,5,4,4,5,5,5,4,4,4,4,3,4,3,4,4,5,2,4,4,2,2,3
"427",2,35,4.167,2.71428571428571,3.25,2,4.75,2.333,3.5,3.333,4,4,3,3.4,4.429,4,4,4,1,1,4,4,4,5,4,4,4,5,5,5,4,3,3,3,2,2,2,2,2,3,3,4,4,3,3,4,4,4,4,4,4,3,3,3,4,3,4,3,3,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4
"428",2,35,4.167,3.57142857142857,4,3,4.75,2.667,2,2.333,4,2.333,1.333,2.6,4,4,3.2,4.667,1,1,4,4,5,4,4,4,5,5,5,4,4,4,4,4,2,3,4,3,4,1,2,2,2,2,3,4,4,4,3,2,2,1,2,1,2,2,4,4,1,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,5,5,4
"429",2,35,4.5,2.28571428571429,2.75,1.66666666666667,5,3,4,3.333,2,3.333,3,4.2,2.571,4,5,2.667,2,2,4,5,5,4,5,4,5,5,5,5,2,2,3,4,2,2,1,3,1,5,4,4,3,3,4,2,2,2,4,3,3,3,3,3,4,3,5,5,4,2,2,4,4,2,2,2,4,4,4,5,5,5,5,5,2,3,3
"430",2,35,4.667,2.28571428571429,3,1.33333333333333,5,2,4,4,5,5,5,4,4.857,5,4.8,3,2,2,4,4,5,5,5,5,5,5,5,5,3,3,3,3,1,1,2,2,2,2,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,3,3,3
"431",2,35,4.667,1.42857142857143,1.75,1,4,1,4.5,3.667,4,4,4,4.2,3.571,4,4,2,2,1,4,5,5,4,5,5,5,4,3,4,2,2,1,2,1,1,1,1,1,1,4,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,4,3,3,4,4,4,4,4,5,4,3,4,4,2,3,1
"432",2,35,4.667,1.28571428571429,1.5,1,5,3.667,3,3.667,4,4,3,4.6,5,3,3.6,3.333,2,2,4,5,5,5,5,4,5,5,5,5,2,1,1,2,1,1,1,3,5,3,2,4,4,3,4,4,5,3,5,2,5,3,3,3,4,5,5,5,4,5,5,5,5,5,5,5,3,2,4,3,5,2,4,4,2,4,4
"433",2,35,4.167,2,2,2,4,1,4,4,4,4,4,4,4,4,4,1.667,2,2,5,5,4,4,5,2,4,4,4,4,2,2,2,2,2,2,2,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2
"434",2,35,4.167,2.28571428571429,2.5,2,4.25,1.333,2,3.667,3.333,2.333,3.667,4,4.286,3,4,3,2,2,5,4,4,4,4,4,4,4,5,4,4,2,2,2,2,2,2,1,1,2,1,3,4,3,4,4,3,3,3,2,2,4,4,3,4,4,4,4,4,4,4,4,4,5,5,4,3,3,3,5,4,4,3,4,3,3,3
"435",2,35,4.333,1.28571428571429,1.5,1,4.5,1,5,4.333,4.333,3.333,4,4,4.857,5,4,3.333,2,1,5,5,5,4,4,3,3,5,5,5,1,1,1,3,1,1,1,1,1,1,5,5,5,4,4,5,4,4,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,5,5,5,5,5,5,2,4,4,4,3,3
"436",2,35,4.333,2.57142857142857,3,2,5,1.333,4,3.333,4,4,3.333,5,5,4,4,3,2,1,5,5,5,4,4,3,5,5,5,5,3,3,3,3,2,2,2,2,1,1,4,4,4,3,3,4,4,4,4,4,4,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3
"437",2,35,4.5,1.28571428571429,1.5,1,3.75,1,5,5,4,5,5,5,5,5,5,1.667,2,1,5,5,5,4,4,4,4,2,5,4,2,1,1,2,1,1,1,1,1,1,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,1
